Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uf","C_1206_3216Metric",86.790000,37.592000,180.000000,top
"C2","10uf","C_1206_3216Metric",86.790000,21.082000,180.000000,top
"D1","HS1MFL","D_SOD-123",74.799500,49.530000,0.000000,top
"OC1","MOC3021S-TA1","SMDIP-6_W7.62mm",67.310000,16.510000,0.000000,top
"OC2","4N35","SMDIP-6_W7.62mm",67.310000,55.880000,180.000000,top
"OC3","MOC3021S-TA1","SMDIP-6_W7.62mm",67.310000,33.025000,0.000000,top
"Q1","BC847","SOT-23",59.370000,57.482500,-90.000000,top
"Q2","ACST410-8BTR","TO-252-2",77.865000,32.005000,180.000000,top
"Q3","ACST410-8BTR","TO-252-2",77.865000,15.495000,180.000000,top
"R1","240","R_1206_3216Metric",30.480000,47.182500,90.000000,top
"R2","240","R_1206_3216Metric",35.560000,47.182500,90.000000,top
"R3","470","R_1206_3216Metric",50.800000,46.990000,90.000000,top
"R4","470","R_1206_3216Metric",40.640000,47.182500,90.000000,top
"R5","470","R_1206_3216Metric",48.260000,46.990000,90.000000,top
"R6","240","R_1206_3216Metric",59.335000,17.587500,-90.000000,top
"R7","240","R_1206_3216Metric",59.335000,34.097500,-90.000000,top
"R8","470","R_2512_6332Metric",80.432500,21.585000,0.000000,top
"R9","470","R_2512_6332Metric",80.432500,38.100000,0.000000,top
"R10","56k","R_2512_6332Metric",74.082500,44.450000,180.000000,top
"R11","220","R_2512_6332Metric",86.360000,32.172500,-90.000000,top
"R12","220","R_2512_6332Metric",86.360000,15.662500,-90.000000,top
"U1","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",41.779500,10.227000,90.000000,top
"U3","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",13.712500,14.734000,90.000000,top
